id,code,name,flag
166,grn,Guarani,🇵🇾
167,gsw,Swiss German; Alemannic; Alsatian,🇨🇭
168,guj,Gujarati,🇮🇳
169,gwi,Gwich'in,🇺🇸
170,hai,Haida,🇨🇦
171,hat,Haitian; Haitian Creole,🇭🇹
172,hau,Hausa,🇳🇬
173,haw,Hawaiian,🏝️
174,heb,Hebrew,🇮🇱
175,her,Herero,🇳🇦
176,hil,Hiligaynon,🇵🇭
177,him,Himachali languages; Western Pahari languages,🇮🇳
178,hin,Hindi,🇮🇳
179,hit,Hittite,🕸️
180,hmn,Hmong; Mong,🇨🇳
181,hmo,Hiri Motu,🇵🇬
182,hrv,Croatian,🇭🇷
183,hsb,Upper Sorbian,🇩🇪
184,hun,Hungarian,🇭🇺
185,hup,Hupa,🇺🇸
186,iba,Iban,🇲🇾
187,ibo,Igbo,🇳🇬
188,ice,Icelandic,🇮🇸
189,ido,Ido,🌐
190,iii,Sichuan Yi; Nuosu,🇨🇳
191,ijo,Ijo languages,🇳🇬
192,iku,Inuktitut,🇨🇦
193,ile,Interlingue; Occidental,🌐
194,ilo,Iloko,🇵🇭
195,ina,Interlingua (International Auxiliary Language Association),🌐
196,inc,Indic languages,🇮🇳
197,ind,Indonesian,🇮🇩
198,ine,Indo-European languages,🌍
199,inh,Ingush,🇷🇺
200,ipk,Inupiaq,🇺🇸
201,ira,Iranian languages,🇮🇷
202,iro,Iroquoian languages,🌍
203,ita,Italian,🇮🇹
204,jav,Javanese,🇮🇩
205,jbo,Lojban,🌍
206,jpn,Japanese,🇯🇵
207,jpr,Judeo-Persian,🇮🇷
208,jrb,Judeo-Arabic,🇮🇱
209,kaa,Kara-Kalpak,🇺🇿
210,kab,Kabyle,🇩🇿
211,kac,Kachin; Jingpho,🇲🇲
212,kal,Kalaallisut; Greenlandic,🇬🇱
213,kam,Kamba,🇰🇪
214,kan,Kannada,🇮🇳
215,kar,Karen languages,🇲🇲
216,kas,Kashmiri,🇮🇳
217,kau,Kanuri,🇳🇪
218,kaw,Kawi,🌍
219,kaz,Kazakh,🇰🇿
220,kbd,Kabardian,🇷🇺
221,kha,Khasi,🇮🇳
222,khi,Khoisan languages,🌍
223,khm,Central Khmer,🇰🇭
224,kho,Khotanese; Sakan,🌍
225,kik,Kikuyu; Gikuyu,🇰🇪
226,kin,Kinyarwanda,🇷🇼
227,kir,Kirghiz; Kyrgyz,🇰🇬
228,kmb,Kimbundu,🇦🇴
229,kok,Konkani,🇮🇳
230,kom,Komi,🇷🇺
231,kon,Kongo,🇨🇩
232,kor,Korean,🇰🇷
233,kos,Kosraean,🇫🇲
234,kpe,Kpelle,🇱🇷
235,krc,Karachay-Balkar,🇷🇺
236,krl,Karelian,🇫🇮
237,kro,Kru languages,🌍
238,kru,Kurukh,🇮🇳
239,kua,Kuanyama; Kwanyama,🇳🇦
240,kum,Kumyk,🇷🇺
241,kur,Kurdish,🌍
242,kut,Kutenai,🇨🇦
243,lad,Ladino,🌍
244,lah,Lahnda,🇵🇰
245,lam,Lamba,🇿🇲
246,lao,Lao,🇱🇦
247,lat,Latin,🌍
248,lav,Latvian,🇱🇻
249,lez,Lezghian,🇷🇺
250,lim,Limburgan; Limburger; Limburgish,🇳🇱
251,lin,Lingala,🇨🇩
252,lit,Lithuanian,🇱🇹
253,lol,Mongo,🇨🇩
254,loz,Lozi,🇿🇲
255,ltz,Luxembourgish; Letzeburgesch,🇱🇺
256,lua,Luba-Lulua,🇨🇩
257,lub,Luba-Katanga,🇨🇩
258,lug,Ganda,🇺🇬
259,lui,Luiseno,🇺🇸
260,lun,Lunda,🇦🇴
261,luo,Luo (Kenya and Tanzania),🇰🇪🇹🇿
262,lus,Lushai,🇮🇳
263,mac,Macedonian,🇲🇰
264,mad,Madurese,🇮🇩
265,mag,Magahi,🇮🇳
266,mah,Marshallese,🇲🇭
267,mai,Maithili,🇮🇳
268,mak,Makasar,🇮🇩
269,mal,Malayalam,🇮🇳
270,man,Mandingo,🇬🇳
271,mao,Maori,🇳🇿
272,map,Austronesian languages,🏝️
273,mar,Marathi,🇮🇳
274,mas,Masai,🇰🇪🇹🇿
275,may,Malay,🇲🇾🇮🇩
276,mdf,Moksha,🇷🇺
277,mdr,Mandar,🇮🇩
278,men,Mende,🇸🇱
279,mga,"Irish, Middle (900-1200)",🇮🇪
280,mic,Mi'kmaq; Micmac,🇨🇦
281,min,Minangkabau,🇮🇩
282,mis,Uncoded languages,🌍
283,mkh,Mon-Khmer languages,🇰🇭🇻🇳
284,mlg,Malagasy,🇲🇬
285,mlt,Maltese,🇲🇹
286,mnc,Manchu,🇨🇳
287,mni,Manipuri,🇮🇳
288,mno,Manobo languages,🇵🇭
289,moh,Mohawk,🇨🇦
290,mon,Mongolian,🇲🇳
291,mos,Mossi,🇧🇫
292,mul,Multiple languages,🌍
293,mun,Munda languages,🇮🇳
294,mus,Creek,🇺🇸
295,mwl,Mirandese,🇵🇹
296,mwr,Marwari,🇮🇳
297,myn,Mayan languages,🇬🇹🇲🇽
298,myv,Erzya,🇷🇺
299,nah,Nahuatl languages,🇲🇽
300,nai,North American Indian languages,🇺🇸
301,nap,Neapolitan,🇮🇹
302,nau,Nauru,🇳🇷
303,nav,Navajo; Navaho,🇺🇸
304,nbl,"Ndebele, South; South Ndebele",🇿🇦
305,nde,"Ndebele, North; North Ndebele",🇿🇼
306,ndo,Ndonga,🇳🇦
307,nds,"Low German; Low Saxon; German, Low; Saxon, Low",🇩🇪
308,nep,Nepali,🇳🇵
309,new,Nepal Bhasa; Newari,🇳🇵
310,nia,Nias,🇮🇩
311,nic,Niger-Kordofanian languages,🌍
312,niu,Niuean,🇳🇺
313,nno,"Norwegian Nynorsk; Nynorsk, Norwegian",🇳🇴
314,nob,"Bokmål, Norwegian; Norwegian Bokmål",🇳🇴
315,nog,Nogai,🇷🇺
316,non,"Norse, Old",🌍
317,nor,Norwegian,🇳🇴
318,nqo,N'Ko,🇬🇳
319,nso,Pedi; Sepedi; Northern Sotho,🇿🇦
320,nub,Nubian languages,🌍
321,nwc,Classical Newari; Old Newari; Classical Nepal Bhasa,🇳🇵
322,nya,Chichewa; Chewa; Nyanja,🇲🇼
323,nym,Nyamwezi,🇹🇿
324,nyn,Nyankole,🇺🇬
325,nyo,Nyoro,🇰🇪
326,nzi,Nzima,🇬🇭
327,oci,Occitan (post 1500),🇫🇷
328,oji,Ojibwa,🇨🇦
329,ori,Oriya,🇮🇳
330,orm,Oromo,🇪🇹
331,osa,Osage,🇺🇸
332,oss,Ossetian; Ossetic,🇷🇺
333,ota,"Turkish, Ottoman (1500-1928)",🌍
334,oto,Otomian languages,🌍
335,paa,Papuan languages,🌍
336,pag,Pangasinan,🇵🇭
337,pal,Pahlavi,🌍
338,pam,Pampanga; Kapampangan,🇵🇭
339,pan,Panjabi; Punjabi,🇮🇳
340,pap,Papiamento,🇦🇼
341,pau,Palauan,🇵🇼
342,peo,"Persian, Old (ca.600-400 B.C.)",🌍
343,per,Persian,🇮🇷
344,phi,Philippine languages,🇵🇭
345,phn,Phoenician,🇱🇧
346,pli,Pali,🇮🇳
347,pol,Polish,🇵🇱
348,pon,Pohnpeian,🇫🇲
349,por,Portuguese,🇵🇹
350,pra,Prakrit languages,🇮🇳
351,pro,"Provençal, Old (to 1500); Occitan, Old (to 1500)",🇫🇷
352,pus,Pushto; Pashto,🇦🇫
353,qaa-qtz,Reserved for local use,🏳️
354,que,Quechua,🇵🇪
355,raj,Rajasthani,🇮🇳
356,rap,Rapanui,🇨🇱
357,rar,Rarotongan; Cook Islands Maori,🇨🇰
358,roa,Romance languages,💕
359,roh,Romansh,🇨🇭
360,rom,Romany,🧑‍🎤
361,rum,Romanian; Moldavian; Moldovan,🇷🇴
362,run,Rundi,🇧🇮
363,rup,Aromanian; Arumanian; Macedo-Romanian,🇷🇴
364,rus,Russian,🇷🇺
365,sad,Sandawe,🇹🇿
366,sag,Sango,🇨🇫
367,sah,Yakut,🇷🇺
368,sai,South American Indian languages,🌎
369,sal,Salishan languages,🌎
370,sam,Samaritan Aramaic,🇮🇱
371,san,Sanskrit,🇮🇳
372,sas,Sasak,🇮🇩
373,sat,Santali,🇮🇳
374,scn,Sicilian,🇮🇹
375,sco,Scots,🏴󠁧󠁢󠁳󠁣󠁴󠁿
376,sel,Selkup,🇷🇺
377,sem,Semitic languages,🕌
378,sga,"Irish, Old (to 900)",🇮🇪
379,sgn,Sign Languages,🙌
380,shn,Shan,🇲🇲
381,sid,Sidamo,🇪🇹
382,sin,Sinhala; Sinhalese,🇱🇰
383,sio,Siouan languages,🌎
384,sit,Sino-Tibetan languages,🌎
385,sla,Slavic languages,🌎
386,slo,Slovak,🇸🇰
387,slv,Slovenian,🇸🇮
388,sma,Southern Sami,🇳🇴
389,sme,Northern Sami,🇳🇴
